time,open,high,low,close,tick_volume,spread,real_volume
2025-05-26 12:00:00,3334.69,3336.34,3323.67,3334.33,33781,7,0
2025-05-26 16:00:00,3334.33,3343.68,3331.44,3342.11,35510,7,0
2025-05-26 20:00:00,3342.11,3343.17,3340.55,3341.54,5865,7,0
2025-05-27 00:00:00,3343.0,3350.02,3342.49,3345.11,16819,7,0
2025-05-27 04:00:00,3345.11,3347.36,3330.75,3330.94,41448,7,0
2025-05-27 08:00:00,3330.94,3332.75,3292.66,3298.57,86727,7,0
2025-05-27 12:00:00,3298.57,3309.72,3287.77,3293.73,69244,7,0
2025-05-27 16:00:00,3293.75,3304.93,3285.28,3297.76,84065,7,0
2025-05-27 20:00:00,3297.76,3308.06,3296.78,3300.1,28947,7,0
2025-05-28 00:00:00,3301.63,3315.86,3297.14,3308.65,19713,7,0
2025-05-28 04:00:00,3308.65,3313.69,3291.62,3296.45,52078,7,0
2025-05-28 08:00:00,3296.45,3323.82,3296.02,3321.71,60577,7,0
2025-05-28 12:00:00,3321.71,3325.54,3305.45,3312.3,49881,7,0
2025-05-28 16:00:00,3312.3,3316.46,3288.63,3293.49,86057,7,0
2025-05-28 20:00:00,3293.49,3302.93,3276.15,3286.24,43669,7,0
2025-05-29 00:00:00,3286.2,3294.84,3250.02,3265.05,59363,7,0
2025-05-29 04:00:00,3265.05,3280.2,3245.55,3269.2,68014,7,0
2025-05-29 08:00:00,3269.2,3289.37,3266.11,3281.74,54686,7,0
2025-05-29 12:00:00,3281.74,3317.55,3276.28,3316.51,66165,7,0
2025-05-29 16:00:00,3316.51,3331.26,3304.82,3322.29,93685,7,0
2025-05-29 20:00:00,3322.29,3325.85,3315.29,3317.33,38378,7,0
2025-05-30 00:00:00,3318.76,3320.98,3309.63,3312.56,19436,7,0
2025-05-30 04:00:00,3312.56,3322.77,3291.35,3296.31,50599,7,0
2025-05-30 08:00:00,3296.31,3305.07,3287.56,3295.79,55045,7,0
2025-05-30 12:00:00,3295.8,3306.87,3282.93,3304.02,62543,7,0
2025-05-30 16:00:00,3304.02,3308.23,3271.48,3293.42,103620,7,0
2025-05-30 20:00:00,3293.36,3295.86,3288.48,3288.56,28998,7,0
2025-06-02 00:00:00,3298.89,3316.67,3295.88,3311.35,27953,7,0
2025-06-02 04:00:00,3311.35,3318.2,3301.48,3313.93,39612,7,0
2025-06-02 08:00:00,3313.93,3359.05,3313.88,3352.08,62381,7,0
2025-06-02 12:00:00,3352.08,3363.68,3344.53,3355.5,58699,7,0
2025-06-02 16:00:00,3355.5,3379.34,3350.39,3371.84,92513,7,0
2025-06-02 20:00:00,3371.79,3382.82,3370.83,3381.58,38781,7,0
2025-06-03 00:00:00,3383.24,3392.19,3373.88,3375.92,25890,7,0
2025-06-03 04:00:00,3375.92,3378.06,3359.26,3362.69,57977,7,0
2025-06-03 08:00:00,3362.69,3367.78,3351.19,3361.34,59799,7,0
2025-06-03 12:00:00,3361.34,3363.19,3349.01,3359.4,48680,7,0
2025-06-03 16:00:00,3359.4,3363.14,3333.1,3348.48,80665,7,0
2025-06-03 20:00:00,3348.48,3355.48,3347.36,3353.18,23579,7,0
2025-06-04 00:00:00,3354.05,3361.62,3349.8,3350.24,19259,7,0
2025-06-04 04:00:00,3350.24,3372.65,3346.45,3354.81,46498,7,0
2025-06-04 08:00:00,3354.81,3365.22,3348.01,3362.8,54071,7,0
2025-06-04 12:00:00,3362.8,3365.0,3343.81,3358.93,62976,7,0
2025-06-04 16:00:00,3358.94,3384.71,3350.93,3375.12,84923,7,0
2025-06-04 20:00:00,3375.12,3382.17,3370.74,3373.96,27682,7,0
2025-06-05 00:00:00,3373.35,3381.75,3372.24,3380.27,18672,7,0
2025-06-05 04:00:00,3380.27,3384.17,3363.92,3368.44,41617,7,0
2025-06-05 08:00:00,3368.44,3376.92,3361.23,3375.25,43751,7,0
2025-06-05 12:00:00,3375.25,3403.66,3374.11,3383.09,91204,7,0
2025-06-05 16:00:00,3383.09,3388.6,3339.5,3354.08,141137,7,0
2025-06-05 20:00:00,3354.08,3361.39,3348.95,3352.51,47523,7,0
2025-06-06 00:00:00,3354.28,3364.12,3353.15,3359.45,21971,7,0
2025-06-06 04:00:00,3359.45,3374.61,3356.01,3373.68,42520,7,0
2025-06-06 08:00:00,3373.68,3375.64,3352.78,3365.39,63141,7,0
2025-06-06 12:00:00,3365.39,3365.45,3343.54,3353.35,70148,7,0
2025-06-06 16:00:00,3353.33,3361.01,3316.53,3322.78,130393,7,0
2025-06-06 20:00:00,3322.78,3326.79,3307.14,3311.92,41397,7,0
2025-06-09 00:00:00,3311.09,3321.12,3298.14,3305.1,29257,7,0
2025-06-09 04:00:00,3305.1,3313.45,3293.29,3311.77,49960,7,0
2025-06-09 08:00:00,3311.77,3328.61,3309.6,3319.81,51153,7,0
2025-06-09 12:00:00,3319.81,3323.51,3312.16,3320.08,46100,7,0
2025-06-09 16:00:00,3320.08,3337.94,3310.75,3337.74,74678,7,0
2025-06-09 20:00:00,3337.74,3338.23,3324.77,3325.53,33306,7,0
2025-06-10 00:00:00,3325.95,3327.85,3314.63,3316.66,21175,7,0
2025-06-10 04:00:00,3316.66,3319.91,3301.68,3307.31,48106,7,0
2025-06-10 08:00:00,3307.31,3334.94,3306.8,3329.37,63025,7,0
2025-06-10 12:00:00,3329.37,3342.58,3327.18,3337.21,45215,7,0
2025-06-10 16:00:00,3337.21,3349.2,3320.04,3321.36,74817,7,0
2025-06-10 20:00:00,3321.36,3334.61,3319.43,3322.55,35637,7,0
2025-06-11 00:00:00,3322.53,3335.26,3315.51,3332.45,25272,7,0
2025-06-11 04:00:00,3332.45,3342.99,3327.15,3341.88,34896,7,0
2025-06-11 08:00:00,3341.88,3348.58,3332.53,3344.53,44702,7,0
2025-06-11 12:00:00,3344.53,3360.71,3326.18,3336.77,70596,7,0
2025-06-11 16:00:00,3336.77,3344.59,3328.05,3330.26,87448,7,0
2025-06-11 20:00:00,3330.26,3355.37,3319.27,3355.32,57984,7,0
2025-06-12 00:00:00,3356.41,3373.61,3356.3,3365.9,36053,7,0
2025-06-12 04:00:00,3365.9,3377.85,3362.56,3370.59,48665,7,0
2025-06-12 08:00:00,3370.59,3375.91,3338.61,3356.86,69917,7,0
2025-06-12 12:00:00,3356.86,3390.48,3355.39,3388.07,77275,7,0
2025-06-12 16:00:00,3388.07,3398.95,3377.86,3383.8,104761,7,0
2025-06-12 20:00:00,3383.8,3389.29,3378.13,3385.66,33155,7,0
2025-06-13 00:00:00,3386.42,3419.91,3379.6,3416.8,52196,7,0
2025-06-13 04:00:00,3416.79,3444.58,3413.9,3425.38,81091,7,0
2025-06-13 08:00:00,3425.38,3428.91,3407.95,3424.42,68881,7,0
2025-06-13 12:00:00,3424.42,3438.23,3411.6,3436.67,67514,7,0
2025-06-13 16:00:00,3436.67,3446.75,3419.24,3430.19,103827,7,0
2025-06-13 20:00:00,3430.19,3439.57,3427.38,3434.0,46620,7,0
2025-06-16 00:00:00,3451.58,3451.58,3427.2,3436.36,40298,7,0
2025-06-16 04:00:00,3436.39,3446.42,3426.88,3427.56,47847,7,0
2025-06-16 08:00:00,3427.56,3430.43,3409.55,3413.86,66822,7,0
2025-06-16 12:00:00,3413.86,3422.68,3410.76,3415.62,52432,7,0
2025-06-16 16:00:00,3415.62,3418.05,3382.88,3399.49,92993,7,0
2025-06-16 20:00:00,3399.49,3400.28,3382.9,3384.62,34958,7,0
2025-06-17 00:00:00,3386.8,3403.32,3385.49,3394.22,30384,7,0
2025-06-17 04:00:00,3394.22,3402.68,3373.92,3394.06,48590,7,0
2025-06-17 08:00:00,3394.06,3395.5,3377.87,3378.91,50010,7,0
2025-06-17 12:00:00,3378.91,3400.17,3375.62,3386.78,69539,7,0
2025-06-17 16:00:00,3386.78,3397.51,3366.16,3382.91,94049,7,0
2025-06-17 20:00:00,3382.91,3392.61,3381.33,3388.49,42441,7,0
2025-06-18 00:00:00,3390.73,3396.13,3383.02,3385.8,19790,7,0
2025-06-18 04:00:00,3385.8,3400.1,3370.69,3395.17,40649,7,0
2025-06-18 08:00:00,3395.17,3395.7,3377.12,3383.58,50752,7,0
2025-06-18 12:00:00,3383.58,3389.89,3375.55,3386.62,48063,7,0
2025-06-18 16:00:00,3386.62,3396.85,3373.78,3390.96,71001,7,0
2025-06-18 20:00:00,3390.96,3395.86,3362.62,3368.38,76444,7,0
2025-06-19 00:00:00,3369.19,3383.34,3369.05,3379.53,21460,7,0
2025-06-19 04:00:00,3379.53,3388.03,3369.71,3374.58,34757,7,0
2025-06-19 08:00:00,3374.58,3375.34,3347.54,3368.73,73971,7,0
2025-06-19 12:00:00,3368.73,3379.16,3363.74,3368.01,43402,7,0
2025-06-19 16:00:00,3368.01,3372.96,3361.57,3371.12,50497,7,0
2025-06-19 20:00:00,3371.12,3374.09,3370.99,3373.4,1933,7,0
2025-06-20 00:00:00,3369.96,3370.49,3362.03,3368.0,20038,7,0
2025-06-20 04:00:00,3368.0,3368.3,3344.73,3354.3,43502,7,0
2025-06-20 08:00:00,3354.3,3355.43,3340.36,3351.09,49275,7,0
2025-06-20 12:00:00,3351.09,3359.23,3341.95,3344.49,47458,7,0
2025-06-20 16:00:00,3344.49,3374.52,3343.03,3371.53,68456,7,0
2025-06-20 20:00:00,3371.53,3371.79,3364.59,3368.57,30087,7,0
2025-06-23 00:00:00,3389.68,3396.86,3358.67,3365.67,37330,7,0
2025-06-23 04:00:00,3365.66,3368.11,3351.97,3358.54,40575,7,0
2025-06-23 08:00:00,3358.54,3362.41,3347.05,3361.85,47316,7,0
2025-06-23 12:00:00,3361.85,3382.05,3355.91,3360.44,55456,7,0
2025-06-23 16:00:00,3360.44,3393.48,3359.87,3389.85,91684,7,0
2025-06-23 20:00:00,3389.85,3391.62,3367.3,3368.56,51588,7,0
2025-06-24 00:00:00,3368.38,3369.99,3333.16,3351.13,40822,7,0
2025-06-24 04:00:00,3351.13,3357.93,3342.22,3348.62,43924,7,0
2025-06-24 08:00:00,3348.62,3348.83,3316.1,3327.32,76226,7,0
2025-06-24 12:00:00,3327.32,3328.96,3304.46,3314.82,57656,7,0
2025-06-24 16:00:00,3314.82,3320.4,3295.42,3318.43,92698,7,0
2025-06-24 20:00:00,3318.43,3325.3,3315.71,3322.98,33278,7,0
2025-06-25 00:00:00,3324.5,3330.07,3320.82,3326.99,13773,7,0
2025-06-25 04:00:00,3326.99,3335.27,3325.82,3327.49,30833,7,0
2025-06-25 08:00:00,3327.49,3337.23,3326.5,3327.27,38914,7,0
2025-06-25 12:00:00,3327.27,3329.55,3318.2,3320.64,41471,7,0
2025-06-25 16:00:00,3320.64,3335.17,3311.93,3334.81,60023,7,0
2025-06-25 20:00:00,3334.81,3336.06,3324.83,3332.26,36492,7,0
2025-06-26 00:00:00,3332.27,3340.14,3330.89,3334.05,16572,7,0
2025-06-26 04:00:00,3334.05,3343.29,3329.33,3333.97,32923,7,0
2025-06-26 08:00:00,3333.97,3350.34,3331.02,3348.25,42920,7,0
2025-06-26 12:00:00,3348.2,3348.78,3321.75,3322.09,51124,7,0
2025-06-26 16:00:00,3322.09,3333.35,3309.91,3331.36,81364,7,0
2025-06-26 20:00:00,3331.36,3336.47,3327.81,3328.23,29780,7,0
2025-06-27 00:00:00,3327.5,3328.01,3313.22,3318.95,17860,7,0
2025-06-27 04:00:00,3318.95,3322.06,3291.2,3294.0,47363,7,0
2025-06-27 08:00:00,3294.0,3301.03,3281.88,3289.33,64830,7,0
2025-06-27 12:00:00,3289.33,3290.97,3269.6,3270.14,63181,7,0
2025-06-27 16:00:00,3270.14,3278.66,3255.86,3277.68,97429,7,0
2025-06-27 20:00:00,3277.68,3282.89,3268.45,3275.03,45751,7,0
2025-06-30 00:00:00,3273.06,3281.74,3247.74,3264.56,29854,7,0
2025-06-30 04:00:00,3264.56,3286.41,3259.42,3285.69,37636,7,0
2025-06-30 08:00:00,3285.69,3296.81,3284.76,3289.22,38741,7,0
2025-06-30 12:00:00,3289.22,3289.22,3274.6,3282.09,42259,7,0
2025-06-30 16:00:00,3282.09,3297.48,3278.03,3297.32,60185,7,0
2025-06-30 20:00:00,3297.32,3309.57,3292.1,3303.13,34773,7,0
2025-07-01 00:00:00,3303.69,3314.91,3302.43,3314.8,19175,7,0
