time,open,high,low,close,tick_volume,spread,real_volume
2025-05-26 10:45:00,3334.23,3335.36,3333.31,3334.89,869,7,0
2025-05-26 10:50:00,3334.89,3337.31,3334.41,3336.12,1023,7,0
2025-05-26 10:55:00,3336.12,3337.94,3333.65,3337.45,1333,7,0
2025-05-26 11:00:00,3337.45,3339.72,3337.45,3338.24,965,7,0
2025-05-26 11:05:00,3338.24,3339.33,3335.77,3336.2,1240,7,0
2025-05-26 11:10:00,3336.2,3336.97,3333.53,3334.42,1409,7,0
2025-05-26 11:15:00,3334.42,3336.13,3333.53,3335.96,850,7,0
2025-05-26 11:20:00,3335.96,3336.91,3334.25,3334.54,904,7,0
2025-05-26 11:25:00,3334.54,3337.36,3334.42,3336.43,861,7,0
2025-05-26 11:30:00,3336.43,3336.64,3334.57,3336.14,808,7,0
2025-05-26 11:35:00,3336.14,3336.4,3333.76,3333.84,580,7,0
2025-05-26 11:40:00,3333.84,3335.23,3331.11,3334.52,1403,7,0
2025-05-26 11:45:00,3334.5,3336.18,3332.46,3334.44,1543,7,0
2025-05-26 11:50:00,3334.44,3335.33,3333.11,3333.7,953,7,0
2025-05-26 11:55:00,3333.7,3335.79,3333.41,3334.64,875,7,0
2025-05-26 12:00:00,3334.69,3335.61,3333.61,3334.59,1103,7,0
2025-05-26 12:05:00,3334.59,3335.16,3333.87,3334.44,962,7,0
2025-05-26 12:10:00,3334.44,3335.67,3333.66,3333.84,897,7,0
2025-05-26 12:15:00,3333.84,3335.48,3332.5,3334.69,1023,7,0
2025-05-26 12:20:00,3334.69,3336.34,3330.42,3332.42,1989,7,0
2025-05-26 12:25:00,3332.42,3332.79,3323.67,3327.13,3155,7,0
2025-05-26 12:30:00,3327.13,3329.04,3324.84,3327.75,1632,7,0
2025-05-26 12:35:00,3327.75,3329.49,3327.75,3329.48,764,7,0
2025-05-26 12:40:00,3329.48,3329.59,3327.39,3328.8,795,7,0
2025-05-26 12:45:00,3328.8,3329.04,3327.06,3327.07,602,7,0
2025-05-26 12:50:00,3327.07,3329.28,3326.85,3329.15,618,7,0
2025-05-26 12:55:00,3329.15,3329.7,3328.28,3328.78,544,7,0
2025-05-26 13:00:00,3328.78,3330.07,3328.77,3329.83,566,7,0
2025-05-26 13:05:00,3329.83,3332.24,3329.74,3332.19,881,7,0
2025-05-26 13:10:00,3332.19,3333.18,3331.72,3332.1,760,7,0
2025-05-26 13:15:00,3332.1,3332.91,3331.75,3332.9,432,7,0
2025-05-26 13:20:00,3332.9,3333.41,3331.92,3333.03,727,7,0
2025-05-26 13:25:00,3333.03,3333.68,3331.11,3331.26,509,7,0
2025-05-26 13:30:00,3331.28,3331.73,3329.74,3331.1,421,7,0
2025-05-26 13:35:00,3331.1,3331.1,3329.58,3329.88,463,7,0
2025-05-26 13:40:00,3329.88,3330.86,3329.38,3329.61,437,7,0
2025-05-26 13:45:00,3329.61,3330.46,3329.58,3330.37,246,7,0
2025-05-26 13:50:00,3330.37,3330.76,3329.27,3330.75,286,7,0
2025-05-26 13:55:00,3330.75,3331.96,3330.48,3331.57,423,7,0
