time,open,high,low,close,tick_volume,spread,real_volume
2025-05-26 10:45:00,3334.23,3337.94,3333.31,3337.45,3225,7,0
2025-05-26 11:00:00,3337.45,3339.72,3333.53,3334.42,3614,7,0
2025-05-26 11:15:00,3334.42,3337.36,3333.53,3336.43,2615,7,0
2025-05-26 11:30:00,3336.43,3336.64,3331.11,3334.52,2791,7,0
2025-05-26 11:45:00,3334.5,3336.18,3332.46,3334.64,3371,7,0
2025-05-26 12:00:00,3334.69,3335.67,3333.61,3333.84,2962,7,0
2025-05-26 12:15:00,3333.84,3336.34,3323.67,3327.13,6167,7,0
2025-05-26 12:30:00,3327.13,3329.59,3324.84,3328.8,3191,7,0
2025-05-26 12:45:00,3328.8,3329.7,3326.85,3328.78,1764,7,0
2025-05-26 13:00:00,3328.78,3333.18,3328.77,3332.1,2207,7,0
2025-05-26 13:15:00,3332.1,3333.68,3331.11,3331.26,1668,7,0
2025-05-26 13:30:00,3331.28,3331.73,3329.38,3329.61,1321,7,0
2025-05-26 13:45:00,3329.61,3331.96,3329.27,3331.57,955,7,0
2025-05-26 14:00:00,3331.57,3332.95,3330.6,3331.56,1233,7,0
2025-05-26 14:15:00,3331.56,3332.25,3330.86,3331.62,1065,7,0
2025-05-26 14:30:00,3331.62,3331.64,3329.24,3330.74,1247,7,0
2025-05-26 14:45:00,3330.74,3334.48,3330.54,3333.22,1244,7,0
2025-05-26 15:00:00,3333.22,3335.05,3332.71,3334.06,1631,7,0
2025-05-26 15:15:00,3334.06,3334.33,3326.46,3326.96,2700,7,0
2025-05-26 15:30:00,3326.96,3334.27,3326.45,3334.05,2537,7,0
2025-05-26 15:45:00,3334.05,3334.95,3331.94,3334.33,1889,7,0
2025-05-26 16:00:00,3334.33,3336.9,3331.44,3334.2,3307,7,0
2025-05-26 16:15:00,3334.2,3338.58,3333.73,3338.08,2563,7,0
2025-05-26 16:30:00,3338.08,3338.63,3334.69,3335.16,3293,7,0
2025-05-26 16:45:00,3335.16,3339.02,3334.76,3338.39,2640,7,0
2025-05-26 17:00:00,3338.39,3341.78,3337.05,3338.86,4331,7,0
2025-05-26 17:15:00,3338.86,3340.72,3336.13,3336.91,2707,7,0
