# Backtest Report (XAUUSD+ M15)
# risk_pct: None
# enable_circuit: False
# n_bars: 329486
# combos: 12, elapsed: 1440.55s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 5204 | 45.79 | -7.45 | -1.49 | -0.19 | 3.63 | 2.00 | 2251 | -1.34
  2.0 | 3.0 | 5 | 5196 | 46.00 | -3.80 | -0.76 | -0.12 | 2.72 | 1.88 | 2241 | -2.47
  2.0 | 4.0 | 3 | 5040 | 44.38 | -15.03 | -3.01 | -0.34 | 4.74 | 3.63 | 2199 | -1.21
  2.0 | 4.0 | 5 | 5030 | 44.77 | -9.82 | -1.96 | -0.29 | 3.47 | 4.18 | 2193 | -2.13
  2.5 | 3.0 | 3 | 5112 | 46.44 | -7.77 | -1.55 | -0.18 | 3.80 | 3.47 | 2219 | -2.23
  2.5 | 3.0 | 5 | 5130 | 46.61 | -4.59 | -0.92 | -0.13 | 2.93 | 2.32 | 2211 | -2.53
  2.5 | 4.0 | 3 | 4908 | 45.21 | -13.55 | -2.71 | -0.27 | 4.60 | 5.18 | 2143 | -1.91
  2.5 | 4.0 | 5 | 4916 | 45.52 | -9.77 | -1.95 | -0.25 | 3.59 | 5.02 | 2147 | -2.57
  3.0 | 3.0 | 3 | 5004 | 47.00 | -7.20 | -1.44 | -0.12 | 4.43 | 4.69 | 2183 | -3.26
  3.0 | 3.0 | 5 | 5008 | 47.04 | -3.13 | -0.63 | -0.07 | 3.17 | 3.15 | 2179 | -5.03
  3.0 | 4.0 | 3 | 4736 | 45.35 | -14.11 | -2.82 | -0.21 | 5.46 | 6.88 | 2105 | -2.44
  3.0 | 4.0 | 5 | 4754 | 45.39 | -10.06 | -2.01 | -0.20 | 4.06 | 6.31 | 2093 | -3.14
