# Backtest Report (XAUUSD+ M15)
# risk_pct: 1.0
# enable_circuit: False
# n_bars: 50555
# combos: 12, elapsed: 181.82s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 37 | 59.46 | 14.23 | 2.85 | 2.83 | 0.68 | 2.69 | 8 | 0.95
  2.0 | 3.0 | 5 | 49 | 44.90 | 10.54 | 2.11 | 1.99 | 0.55 | 2.15 | 210 | 1.02
  2.0 | 4.0 | 3 | 695 | 48.92 | 19.27 | 3.85 | 3.35 | 0.68 | 2.86 | 86 | 0.74
  2.0 | 4.0 | 5 | 378 | 47.88 | 14.44 | 2.89 | 2.50 | 0.52 | 2.22 | 94 | 0.77
  2.5 | 3.0 | 3 | 716 | 48.88 | 11.88 | 2.38 | 3.03 | 0.57 | 2.25 | 64 | 0.95
  2.5 | 3.0 | 5 | 35 | 51.43 | 8.43 | 1.69 | 2.22 | 0.46 | 1.69 | 45 | 1.00
  2.5 | 4.0 | 3 | 13 | 53.85 | 16.68 | 3.34 | 3.44 | 0.57 | 2.39 | 107 | 0.72
  2.5 | 4.0 | 5 | 112 | 50.89 | 12.18 | 2.44 | 2.69 | 0.44 | 1.73 | 87 | 0.71
  3.0 | 3.0 | 3 | 75 | 49.33 | 12.02 | 2.40 | 2.99 | 0.50 | 1.84 | 207 | 0.77
  3.0 | 3.0 | 5 | 29 | 41.38 | 8.85 | 1.77 | 2.14 | 0.33 | 1.40 | 18 | 0.79
  3.0 | 4.0 | 3 | 684 | 47.95 | 16.46 | 3.29 | 3.17 | 0.48 | 1.96 | 249 | 0.59
  3.0 | 4.0 | 5 | 75 | 45.33 | 12.53 | 2.51 | 2.50 | 0.32 | 1.43 | 21 | 0.57
